lat,lng,alt
42.38044697,-83.09104297,186.15
42.37893596,-83.08986297,186.15
42.37451501,-83.08689502,189.04
42.37089998,-83.08442504,188.08
42.36659202,-83.08157897,185.19
42.36346104,-83.07933496,185.67
42.36001901,-83.07726597,183.75
42.35661596,-83.07520998,188.08
42.35156704,-83.07224203,180.38
42.34796399,-83.07032903,181.83
42.34334598,-83.06821704,177.02
42.33963003,-83.06653798,173.17
42.33680399,-83.06525697,174.62
42.33346196,-83.063508,171.73
42.33135098,-83.06167102,175.1
42.329658,-83.05947304,175.58
42.327257,-83.055856,176.06
42.32670899,-83.05456501,177.02
42.32661503,-83.05428699,176.06
42.32627003,-83.05271898,183.27
42.326235,-83.05249703,183.27
42.32620298,-83.05228597,183.75
42.32618102,-83.05205598,186.15
42.32648503,-83.05190401,183.75
42.32656701,-83.05171902,184.23
42.32664797,-83.05154996,184.23
42.32744702,-83.04687797,329.39
42.32772597,-83.046235,296.7
42.32701804,-83.04713597,271.23
42.32831103,-83.04780602,230.85
42.32847598,-83.04740896,183.27
42.32872199,-83.04766503,192.4
42.32887999,-83.04778699,182.79
42.32894897,-83.04784197,177.98
42.32897102,-83.04785798,177.5
42.32878896,-83.04664303,183.75
42.32921502,-83.04559898,210.67
42.32926296,-83.04548096,212.59
42.32935701,-83.04524803,214.51
42.33004097,-83.04371498,215.95
42.33062301,-83.04239399,251.04
42.33070096,-83.04221897,236.14
42.33126397,-83.04094601,220.28
42.33165801,-83.04007103,202.98
42.3317,-83.04024604,184.23
42.33174602,-83.04027798,182.79
42.33179396,-83.040311,184.23
42.33236804,-83.04070998,189.04
42.33235999,-83.04078802,189.52
42.33234004,-83.04084904,188.56
42.33231003,-83.04091802,187.59
42.33226804,-83.041015,186.15
42.33184601,-83.04198604,185.67
42.33184601,-83.04198604,186.15
42.33184601,-83.04198604,189.04
42.33182397,-83.042036,189.04
42.33178298,-83.04213197,189.04
42.33145298,-83.04289699,189.04
42.33137403,-83.04307996,189.04
42.33137403,-83.04307996,189.52
42.33137403,-83.04307996,189.52
42.33140303,-83.04301299,189.52
42.33119499,-83.04319899,189.04
42.331097,-83.04312397,189.04
42.33064497,-83.04277997,189.04
42.33064497,-83.04277997,189.04
42.33028002,-83.04246297,189.04
42.330017,-83.04226097,189.04
42.330017,-83.04226097,189.04
42.32985296,-83.042138,189.04
42.32935701,-83.04170701,189.04
42.32922398,-83.04177398,189.04
42.32915601,-83.04180801,189.04
42.32907697,-83.04184698,189.04
42.32899399,-83.04188797,189.04
42.32891302,-83.04192896,189.04
42.32877396,-83.04199602,189.04
42.32853499,-83.04211202,189.04
42.32838999,-83.042181,189.04
42.32831698,-83.04221696,189.04
42.32822604,-83.04231796,189.04
42.32819804,-83.04235099,189.04
42.32819804,-83.04235099,189.04
42.32819804,-83.042439,189.04
42.32819804,-83.04247999,189.04
42.32822302,-83.04253204,189.04
42.32826401,-83.04262097,189.04
42.32829996,-83.04270102,189.04
42.32837398,-83.042741,189.04
42.32763201,-83.04047202,189.04
42.32755397,-83.04043002,189.04
42.32739497,-83.04035199,189.04
42.32405503,-83.03967004,189.04
42.31580699,-83.03683201,183.75
42.31568696,-83.03676202,180.38
