time,lat,lon,alt,vel m/s,Hav.Heading,Yaw Rads/sec,Yaw Rate/s2
20151020:102000.0,42.54707183,-83.11865817,198,6.374475604,360,0,0
20151020:102000.0,42.5471145,-83.11866017,197.9,4.057419828,360,0,0
20151020:102001.1,42.547144,-83.118663,198,2.950850784,355.9573264,-0.352789825,-1.763949125
20151020:102001.1,42.54716833,-83.11866933,198,2.693628784,349.1494562,-0.594098751,-2.970493754
20151020:102001.1,42.547194,-83.1186825,198,3.213217224,339.294677,-0.859991718,-4.299958589
20151020:102001.1,42.54722317,-83.11870767,198.1,4.175227504,327.5560499,-1.024388465,-5.121942324
20151020:102001.1,42.54725267,-83.11874917,198.1,5.033320096,313.9759009,-1.185091568,-5.925457839
20151020:102002.2,42.54727733,-83.11880817,198.2,5.879066032,299.5677315,-1.257349976,-6.28674988
20151020:102002.2,42.5472935,-83.11888283,198.3,6.66976646,286.3823804,-1.150638948,-5.753194741
20151020:102002.2,42.547301,-83.1189705,198.3,7.535575712,276.6235687,-0.851616973,-4.258084866
20151020:102002.2,42.54730267,-83.11906917,198.3,8.351483896,271.3160928,-0.463164643,-2.315823215
20151020:102002.2,42.54730117,-83.11917683,198.2,9.068618832,268.9165944,-0.209395743,-1.046978717
20151020:102003.3,42.54729833,-83.11929133,198,9.557855076,268.0717618,-0.073725547,-0.368627735
20151020:102003.3,42.54729633,-83.11940933,197.9,9.750771576,268.6821112,0.053263029,0.266315146
20151020:102003.3,42.5472945,-83.11952967,197.9,9.948318072,268.817544,0.011818741,0.059093706
20151020:102003.3,42.54729267,-83.11964817,198,9.67411942,268.7991876,-0.001601897,-0.008009483
20151020:102003.3,42.54729067,-83.1197625,198,9.304748628,268.6398201,-0.013907436,-0.06953718
20151020:102004.4,42.54728983,-83.11987217,198.1,8.918401184,269.40438,0.066720438,0.333602188
20151020:102004.4,42.54728933,-83.11997117,198.2,7.802057704,269.6072543,0.017704117,0.088520587
20151020:102004.4,42.54728867,-83.120053,198.3,6.277245688,269.3727866,-0.020461168,-0.102305839
20151020:102004.4,42.54728733,-83.12012533,198.4,5.788009445,268.5595178,-0.070971091,-0.354855455
20151020:102004.4,42.5472865,-83.1201945,198.5,5.670201768,269.0668929,0.044276833,0.221384165
20151020:102006.6,42.54728467,-83.1202615,198.4,5.43510086,267.8767886,-0.103856194,-0.51928097
20151020:102006.6,42.5472825,-83.12032633,198.6,5.294657648,267.3986312,-0.041727102,-0.20863551
20151020:102006.6,42.54728067,-83.1203805,198.6,4.1026909,267.3745393,-0.002102418,-0.01051209
20151020:102006.6,42.54727967,-83.1204145,198.5,2.253779164,267.7138288,0.029608599,0.148042997
20151020:102006.6,42.54727967,-83.12043067,198.5,0.948120292,270.0000055,0.199506549,0.997532743
20151020:102007.7,42.54727967,-83.12043667,198.5,0.30094974,270.000002,-3.02E-07,-1.51E-06
20151020:102007.7,42.5472795,-83.12044,198.5,0.26751088,266.0360217,-0.345922544,-1.729612719
20151020:102007.7,42.5472795,-83.12044367,198.5,0.30609418,270.0000012,0.345922473,1.729612367
20151020:102007.7,42.5472795,-83.12044883,198.5,0.490265132,270.0000018,4.89E-08,2.45E-07
20151020:102007.7,42.5472795,-83.1204585,198.5,0.928056976,270.0000033,1.31E-07,6.55E-07
20151020:102008.8,42.54727967,-83.12047283,198.5,1.29639888,270.9225457,0.080507012,0.402535061
20151020:102008.8,42.54728067,-83.12049217,198.4,1.755797372,274.0146998,0.269841351,1.349206756
20151020:102008.8,42.54728483,-83.1205195,198.3,2.534151144,281.6736374,0.668368396,3.34184198
20151020:102008.8,42.5472925,-83.12054733,198.2,2.44103678,290.5104987,0.77116162,3.855808099
20151020:102008.8,42.54730467,-83.120573,198.2,2.570162224,302.7621342,1.069156893,5.345784464
20151020:102009.9,42.547326,-83.1206005,198.2,3.606766884,316.4740665,1.196591825,5.982959124
20151020:102009.9,42.54736067,-83.12062483,198.3,4.742659236,332.6610711,1.412582637,7.062913185
20151020:102009.9,42.54740517,-83.12064533,198.4,5.451563069,341.2534564,0.749827066,3.749135329
20151020:102009.9,42.547451,-83.12066333,198.5,5.252987684,343.8621938,0.227655288,1.138276441
20151020:102009.9,42.547489,-83.12068033,198.5,4.100633124,341.7586087,-0.18357243,-0.917862148
20151020:102010.10,42.54751167,-83.1206925,198.5,2.120023724,338.4215112,-0.291216693,-1.456083467
20151020:102010.10,42.54752133,-83.12069817,198.5,0.771666,336.6153457,-0.15761768,-0.7880884
20151020:102010.10,42.54752483,-83.12070017,198.6,0.257736444,337.1698333,0.048388176,0.241940881
20151020:102010.10,42.54752583,-83.12070083,198.5,0,334.069449,-0.270559575,-1.352797875
20151020:102010.10,42.54752617,-83.12070083,198.6,0,334.069449,0,0
20151020:102010.10,42.547527,-83.1207015,198.7,0.139414324,329.2600933,-0.419695456,-2.09847728
20151020:102010.10,42.54752767,-83.12070217,198.7,0,323.6203058,-0.492164308,-2.46082154
20151020:102010.10,42.54752783,-83.12070233,198.7,0,323.6203073,1.34E-07,6.72E-07
20151020:102010.10,42.54752833,-83.12070267,198.8,0,333.3906265,0.85262119,4.263105952
20151020:102010.10,42.547531,-83.12070383,198.8,0.41412742,342.2516049,0.773266244,3.866331221
20151020:102011.11,42.54753733,-83.12070733,198.9,0.92857142,337.8366116,-0.38528085,-1.926404252
20151020:102011.11,42.5475525,-83.12071467,198.9,2.138543708,340.3808826,0.222029535,1.110147675
20151020:102011.11,42.54757433,-83.120725,199,2.749188736,340.780651,0.03488637,0.17443185
20151020:102011.11,42.5475925,-83.12073367,199,1.879778376,340.6318203,-0.012987925,-0.064939626
20151020:102011.11,42.54760233,-83.1207385,199,0.866323696,340.1003767,-0.046377206,-0.23188603
20151020:102012.12,42.54760983,-83.12074217,199,0.876612576,340.1757895,0.006581013,0.032905067
20151020:102012.12,42.54761867,-83.12074667,199,1.120459032,339.4427038,-0.0639738,-0.319869001
20151020:102012.12,42.54762883,-83.120752,199,1.238781152,338.869202,-0.050047472,-0.25023736
20151020:102012.12,42.5476395,-83.12075767,199,1.287138888,338.6202575,-0.021724503,-0.108622513
20151020:102012.12,42.54764683,-83.120762,199,0.726909372,336.4815805,-0.186634776,-0.933173882
20151020:102013.13,42.54765167,-83.12076483,199,0.531935096,336.6952997,0.018650518,0.093252588
20151020:102013.13,42.54765367,-83.12076583,198.9,0.147645428,339.7783421,0.269046204,1.345231019
20151020:102013.13,42.547654,-83.120766,198.9,0,339.2172471,-0.048964777,-0.244823887
20151020:102013.13,42.54765467,-83.12076633,198.9,0.135813216,340.0562053,0.073212916,0.366064579
20151020:102013.13,42.5476575,-83.120768,198.9,0.41927186,336.5034862,-0.310033235,-1.550166173
