lat,lng,alt
42.5471542953, -83.1186622792, 197.873005718
42.5471745058, -83.1186660132, 198.022892962
42.5471935863, -83.1186759685, 198.006522949
42.5472199902, -83.118696071, 198.018838117
42.547252099, -83.1187330974, 198.160001006
42.5472813284, -83.1187907478, 198.148994296
42.547301544, -83.1188669959, 198.275217639
42.5473097397, -83.1189572713, 198.362578881
42.5473088374, -83.1190580448, 198.30840355
42.5473047874, -83.1191676943, 198.271891088
42.5472998587, -83.1192843556, 198.113298395
42.5472954464, -83.1194056676, 197.874610412
42.5472941517, -83.1195272361, 197.821524576
42.5472926404, -83.1196497119, 197.88934917
42.5472909883, -83.1197664573, 198.044438617
42.5472886831, -83.1198767932, 198.038786165
42.5472888981, -83.1199814015, 198.178415624
42.5472887357, -83.1200697446, 198.291334527
42.5472880701, -83.1201353177, 198.392443241
42.547286247, -83.1201981017, 198.485718742
42.5472856185, -83.1202637324, 198.56796652
42.5472825539, -83.1203285472, 198.411847449
42.5472807072, -83.1203904906, 198.678665097
42.54727877, -83.1204340408, 198.614262037
42.5472784724, -83.1204486914, 198.465370949
42.5472796675, -83.120447364, 198.487471946
42.5472797616, -83.1204431979, 198.494493731
42.54727943, -83.1204435651, 198.496746911
42.5472795239, -83.1204474402, 198.497316631
42.5472795613, -83.1204541897, 198.495234285
42.5472795952, -83.120468189, 198.488856155
42.5472800584, -83.1204871828, 198.47175054
42.5472818885, -83.1205117091, 198.32694291
42.5472889259, -83.1205463673, 198.218217075
42.5473002284, -83.1205750064, 198.12956224
42.5473175554, -83.1205989163, 198.176659751
42.5473477577, -83.1206277252, 198.213022548
42.5473949267, -83.1206490547, 198.374630616
42.5474485048, -83.1206658407, 198.497385268
42.5474955384, -83.1206813276, 198.590149528
42.5475258126, -83.1206970512, 198.541628501
42.5475345113, -83.1207045835, 198.514148852
42.547531904, -83.1207040827, 198.50710995
42.5475291434, -83.1207023243, 198.629216774
42.5475268763, -83.1207016301, 198.487972457
42.5475268501, -83.1207008925, 198.6495984
42.5475279119, -83.1207020989, 198.760630633
42.5475282111, -83.1207028257, 198.72800707
42.5475280421, -83.120702561, 198.724866894
42.5475292523, -83.1207030444, 198.851676781
42.5475338815, -83.1207051371, 198.832228995
42.5475444062, -83.1207109318, 198.954875342
42.5475671941, -83.1207219479, 198.942396376
42.5475948846, -83.1207349178, 199.068094692
42.5476099372, -83.1207421723, 199.027723713
42.5476128537, -83.1207435426, 199.002689386
42.5476178764, -83.1207460088, 198.99661174
42.5476275574, -83.1207511796, 198.99908294
42.5476388335, -83.1207572833, 199.00157925
42.547649686, -83.1207632033, 199.002330338
42.5476542212, -83.1207663078, 198.994719492
42.5476565378, -83.1207676303, 198.98242792
42.5476556849, -83.1207669438, 198.850448151
42.5476547036, -83.1207662471, 198.877157519
42.5476557342, -83.1207667615, 198.885966538
42.5476609801, -83.1207698574, 198.887535322
42.5476759256, -83.1207786195, 198.889516272
42.5477064534, -83.1207978359, 198.89678811
42.5477493659, -83.1208240708, 198.903187017
